,date,symbol,spot_open,spot_high,spot_low,spot_close,spot_volume,fut_open,fut_high,fut_low,fut_close,fut_volume,basis
0,2025-07-23,BTCUSDT,119954.43,120090.0,117301.0,118755.99,14558.75083,119993.7,120146.5,117250.0,118713.5,136986.897,42.49
1,2025-07-22,BTCUSDT,117380.36,120247.8,116128.0,119954.42,20959.12973,117330.2,120300.1,115865.0,119993.7,186832.45,-39.28
2,2025-07-15,BTCUSDT,119841.17,119940.83,115736.92,117758.09,32018.46083,119816.5,119919.4,115678.1,117738.5,269977.446,19.59
3,2025-07-14,BTCUSDT,119086.65,123218.0,118905.18,119841.18,27269.348877,119038.3,123300.0,118862.6,119816.5,221556.12,24.68
4,2025-07-13,BTCUSDT,117420.0,119488.0,117224.79,119086.64,9550.792947,117389.4,119655.0,117164.3,119038.3,90052.381,48.34
5,2025-07-12,BTCUSDT,117527.66,118200.0,116900.05,117420.0,8446.60437,117500.0,118176.9,116862.4,117389.3,63722.472,30.7
6,2025-07-11,BTCUSDT,116010.01,118869.98,115222.22,117527.66,25873.521148,115979.2,118882.8,115186.7,117500.0,199819.357,27.66
7,2025-07-10,BTCUSDT,111234.0,116868.0,110500.0,116010.0,24883.450665,111199.8,117500.0,110432.2,115979.2,225570.21300000002,30.8
8,2025-07-09,BTCUSDT,108922.99,111999.79,108324.53,111233.99,17282.2865,108873.2,112036.8,108273.5,111199.9,167834.73100000003,34.09
9,2025-07-08,BTCUSDT,108262.94,109216.56,107429.57,108922.98,9216.0208,108203.9,109180.0,107400.0,108873.1,95156.02699999999,49.88
10,2025-07-07,BTCUSDT,109203.85,109700.0,107513.2,108262.94,9405.37601,109145.8,109667.3,107456.0,108203.9,106397.57800000001,59.04
11,2025-07-06,BTCUSDT,108198.12,109700.0,107800.01,109203.84,6447.607,108153.4,109684.7,107743.4,109145.8,72388.603,58.04
12,2025-07-05,BTCUSDT,107984.25,108420.56,107756.31,108198.12,3736.9757,107935.3,108368.1,107688.3,108153.4,36660.948,44.72
13,2025-07-04,BTCUSDT,109584.77,109767.59,107245.0,107984.24,11793.86615,109545.1,109732.3,107200.0,107935.4,132305.84699999998,48.84
14,2025-07-03,BTCUSDT,108849.59,110529.18,108530.4,109584.78,13047.08225,108800.0,110484.0,108480.6,109545.2,141487.997,39.58
15,2025-07-02,BTCUSDT,105681.13,109730.0,105100.19,108849.6,17691.89592,105637.9,109690.4,105010.0,108800.0,177567.26100000003,49.6
16,2025-07-01,BTCUSDT,107146.51,107540.0,105250.85,105681.14,10505.62437,107087.3,107499.9,105182.6,105637.9,120434.401,43.24
17,2025-06-30,BTCUSDT,108356.93,108789.99,106733.33,107146.5,9754.12491,108309.8,108783.9,106686.4,107087.4,114681.386,59.1
18,2025-06-29,BTCUSDT,107296.79,108528.5,107172.52,108356.93,6831.7364,107240.9,108499.0,107112.6,108309.8,79448.325,47.13
19,2025-06-28,BTCUSDT,107047.58,107577.75,106811.51,107296.79,3282.17352,107010.6,107538.0,106767.0,107241.0,35670.419,55.79
20,2025-06-27,BTCUSDT,106947.06,107735.34,106356.76,107047.59,12232.44042,106913.8,107686.0,106313.1,107010.7,118637.45,36.89
21,2025-06-26,BTCUSDT,107340.59,108272.45,106562.5,106947.06,10573.27279,107280.1,108249.9,106500.0,106913.7,114433.386,33.36
22,2025-06-25,BTCUSDT,106083.0,108135.3,105808.03,107340.58,16701.15551,106034.9,108095.7,105755.6,107280.0,159277.823,60.58
23,2025-06-24,BTCUSDT,105333.94,106290.0,104622.02,106083.0,14651.69335,105291.0,106239.0,104570.8,106034.9,144449.887,48.1
24,2025-06-23,BTCUSDT,100963.87,106074.2,99613.33,105333.93,27666.50609,100904.7,106050.0,99547.6,105290.9,297222.041,43.03
25,2025-06-22,BTCUSDT,102120.02,103399.62,98200.0,100963.87,28746.41072,102079.8,103362.6,98115.4,100904.7,293562.636,59.17
26,2025-06-21,BTCUSDT,103297.98,103982.64,100837.9,102120.01,11154.21332,103246.1,103940.6,100789.9,102079.8,120771.35,40.21
27,2025-06-20,BTCUSDT,104658.59,106524.65,102345.0,103297.99,16419.06283,104607.1,106486.2,102255.3,103246.1,199102.135,51.89
28,2025-06-19,BTCUSDT,104886.79,105226.17,103929.27,104658.59,7678.60737,104832.8,105185.7,103870.3,104607.1,87710.605,51.49
29,2025-06-18,BTCUSDT,104551.17,105550.27,103500.0,104886.78,13968.64167,104508.0,105500.0,103426.1,104832.8,172706.39899999998,53.98
30,2025-06-17,BTCUSDT,106794.53,107771.34,103371.02,104551.17,17866.33025,106750.1,107727.4,103300.0,104508.0,226051.863,43.17
31,2025-06-16,BTCUSDT,105594.02,108952.38,104980.37,106794.53,14922.6654,105534.7,108900.0,104920.0,106750.1,166813.219,44.43
32,2025-06-15,BTCUSDT,105414.63,106128.57,104494.53,105594.01,7164.20047,105359.8,106099.4,104399.9,105534.6,78819.399,59.41
33,2025-06-14,BTCUSDT,106066.59,106252.0,104300.0,105414.64,8798.93969,106027.3,106173.6,104225.4,105359.9,79911.57,54.74
34,2025-06-13,BTCUSDT,105671.74,106179.53,102664.31,106066.59,26180.81734,105609.4,106141.1,102614.0,106027.3,245935.413,39.29
35,2025-06-12,BTCUSDT,108645.13,108813.55,105671.72,105671.73,17778.67218,108600.1,108782.1,105602.0,105609.5,185790.19,62.23
36,2025-06-11,BTCUSDT,110274.39,110392.01,108064.0,108645.12,13115.91638,110235.4,110350.0,108001.2,108600.0,134422.321,45.12
37,2025-06-10,BTCUSDT,110263.02,110400.0,108331.03,110274.39,17071.82839,110228.0,110367.2,108282.0,110235.4,152216.97400000002,38.99
38,2025-06-09,BTCUSDT,105734.01,110530.17,105318.37,110263.02,19975.37451,105676.5,110653.6,105253.2,110227.9,192956.40899999999,35.12
39,2025-06-08,BTCUSDT,105552.15,106488.14,104964.14,105734.0,8048.06305,105507.5,106482.6,104927.4,105676.5,75105.104,57.5
40,2025-06-07,BTCUSDT,104288.43,105900.0,103871.09,105552.15,8344.93206,104240.1,105878.3,103800.1,105507.5,79833.173,44.65
41,2025-06-06,BTCUSDT,101508.69,105333.0,101095.8,104288.44,15839.07385,101458.7,105283.0,101003.4,104240.0,174300.90600000002,48.44
42,2025-06-05,BTCUSDT,104696.86,105909.71,100372.26,101508.68,22321.50154,104641.8,105878.3,100305.1,101458.6,246238.674,50.08
43,2025-06-04,BTCUSDT,105376.9,106000.0,104179.0,104696.86,14034.89482,105330.1,105967.2,104111.7,104641.8,118534.125,55.06
44,2025-06-03,BTCUSDT,105858.0,106794.67,104872.5,105376.89,13259.52634,105814.4,106775.0,104822.4,105330.1,139216.00699999998,46.79
45,2025-06-02,BTCUSDT,105642.93,105935.63,103659.88,105857.99,13453.98813,105583.3,105900.0,103600.6,105814.3,158252.918,43.69
46,2025-06-01,BTCUSDT,104591.88,105866.91,103752.49,105642.93,9709.70006,104544.6,105823.6,103704.1,105583.3,97420.24,59.63
47,2025-05-31,BTCUSDT,103985.47,104900.0,103068.55,104591.88,11289.35922,103949.9,104859.3,103032.1,104544.7,103607.84,47.18
48,2025-05-30,BTCUSDT,105589.75,106313.12,103621.0,103985.48,23706.49799,105539.9,106266.0,103555.0,103950.0,219701.302,35.48
49,2025-05-29,BTCUSDT,107781.78,108891.91,105322.86,105589.75,19834.70116,107723.1,108860.0,105054.2,105539.9,213101.255,49.85
50,2025-05-28,BTCUSDT,108938.17,109284.7,106769.43,107781.78,15633.78829,108889.2,109252.6,106723.9,107723.1,158417.759,58.68
51,2025-05-27,BTCUSDT,109434.78,110718.0,107516.57,108938.17,21276.65635,109386.8,110700.0,107438.0,108889.3,223599.905,48.87
52,2025-05-26,BTCUSDT,109004.2,110422.22,108670.58,109434.79,14649.11593,108956.0,110400.0,108616.6,109386.8,146992.22,47.99
53,2025-05-25,BTCUSDT,107761.9,109299.99,106600.64,109004.19,17710.04695,107699.0,109285.1,106497.0,108955.9,159465.803,48.29
54,2025-05-24,BTCUSDT,107318.3,109506.03,106875.41,107761.91,16782.53129,107271.6,109440.2,106836.0,107698.9,165158.758,63.01
55,2025-05-23,BTCUSDT,111696.22,111800.0,106800.0,107318.3,31737.72309,111662.6,111770.4,106721.9,107271.5,279480.347,46.8
56,2025-05-22,BTCUSDT,109643.99,111980.0,109177.37,111696.21,31630.77313,109609.6,111959.5,109153.4,111662.7,246067.033,33.51
57,2025-05-21,BTCUSDT,106850.0,110797.38,106100.01,109643.99,45531.040345,106800.0,110830.0,106037.9,109609.5,413589.854,34.49
58,2025-05-20,BTCUSDT,105573.73,107320.0,104184.72,106849.99,23705.48275,105531.5,107292.5,104115.2,106800.1,226187.246,49.89
59,2025-05-19,BTCUSDT,106454.27,107108.62,102000.0,105573.74,30260.03524,106407.5,107114.3,102038.8,105531.6,257825.604,42.14
60,2025-05-18,BTCUSDT,103126.65,106660.0,103105.09,106454.26,21599.98726,103079.5,106629.8,103052.2,106407.6,173224.28399999999,46.66
61,2025-05-17,BTCUSDT,103463.9,103709.86,102612.5,103126.65,11250.89622,103412.2,103658.0,102541.6,103079.6,90372.66900000001,47.05
62,2025-05-16,BTCUSDT,103763.71,104550.33,103100.49,103463.9,15683.88024,103714.2,104524.2,103062.3,103412.2,115513.049,51.7
63,2025-05-15,BTCUSDT,103507.83,104192.7,101383.07,103763.71,17998.98604,103458.1,104162.8,101270.8,103714.5,176344.10600000003,49.21
64,2025-05-14,BTCUSDT,104103.72,104356.95,102602.05,103507.82,16452.9081,104082.0,104319.0,102536.0,103458.1,126264.097,49.72
65,2025-05-13,BTCUSDT,102791.32,104976.25,101429.7,104103.72,21253.42409,102739.3,104949.2,101400.0,104082.0,162368.328,21.72
66,2025-05-12,BTCUSDT,104118.0,105819.45,100718.37,102791.32,31272.77792,104072.7,105863.1,100678.0,102739.3,256542.699,52.02
67,2025-05-11,BTCUSDT,104809.53,104972.0,103345.06,104118.0,17987.12197,104788.8,104950.0,103283.3,104072.7,139136.421,45.3
68,2025-05-10,BTCUSDT,102971.99,104984.57,102818.76,104809.53,15324.78611,102941.9,105000.1,102784.0,104788.8,104384.537,20.73
69,2025-05-09,BTCUSDT,103261.61,104361.3,102315.14,102971.99,27617.39907,103228.0,104373.0,102240.0,102941.9,172883.922,30.09
70,2025-05-08,BTCUSDT,97030.5,104145.76,96876.29,103261.6,34962.02847,96988.4,104305.3,96831.5,103228.1,317422.469,33.5
71,2025-05-07,BTCUSDT,96834.02,97732.0,95784.61,97030.5,16644.83854,96798.9,97700.0,95718.5,96988.4,185267.142,42.1
72,2025-05-06,BTCUSDT,94733.68,96920.65,93377.0,96834.02,16122.64513,94696.7,96879.5,93327.0,96798.9,173683.06600000002,35.12
73,2025-05-05,BTCUSDT,94277.61,95199.0,93514.1,94733.68,17251.18189,94230.2,95165.1,93445.1,94696.7,154902.375,36.98
74,2025-05-04,BTCUSDT,95856.42,96304.48,94151.38,94277.62,11036.38342,95803.3,96266.6,94116.4,94230.2,94260.877,47.42
75,2025-05-03,BTCUSDT,96887.13,96935.67,95753.01,95856.42,9723.34838,96831.2,96868.4,95700.0,95803.3,71420.629,53.12
76,2025-05-02,BTCUSDT,96489.9,97895.68,96350.0,96887.14,14905.74811,96423.2,97865.4,96283.1,96831.2,139197.52599999998,55.94
77,2025-05-01,BTCUSDT,94172.0,97424.02,94130.43,96489.91,21380.45343,94125.2,97388.0,94086.7,96423.3,184526.755,66.61
78,2025-04-30,BTCUSDT,94256.82,95228.45,92910.0,94172.0,17661.2751,94200.1,95186.5,92848.1,94125.1,170929.31,46.9
79,2025-04-29,BTCUSDT,95011.18,95461.53,93742.54,94256.82,16955.3402,94969.0,95426.4,93678.7,94200.1,147831.794,56.72
80,2025-04-28,BTCUSDT,93749.29,95630.0,92800.01,95011.18,22157.53351,93697.0,95578.8,92700.0,94969.0,194420.71600000001,42.18
81,2025-04-27,BTCUSDT,94628.0,95369.0,93602.58,93749.3,11162.841,94575.7,95280.5,93547.3,93697.1,83816.183,52.2
82,2025-04-26,BTCUSDT,94638.68,95199.0,93870.69,94628.0,9415.06875,94591.8,95157.1,93833.0,94575.7,72538.209,52.3
83,2025-04-25,BTCUSDT,93980.47,95758.04,92855.96,94638.68,27500.66648,93931.5,95769.6,92788.0,94591.8,191830.47699999998,46.88
84,2025-04-24,BTCUSDT,93691.07,94005.0,91660.01,93980.47,19497.06071,93632.2,93980.6,91619.0,93931.6,157092.728,48.87
85,2025-04-23,BTCUSDT,93442.99,94696.05,91935.41,93691.08,27404.16808,93404.9,94904.3,91898.0,93632.1,232748.428,58.98
86,2025-04-22,BTCUSDT,87516.22,93888.0,87076.03,93442.99,43872.74705,87466.0,94142.5,87017.5,93404.9,334005.081,38.09
87,2025-04-21,BTCUSDT,85179.24,88465.99,85144.76,87516.23,31773.37262,85138.9,88418.2,85100.0,87466.0,274069.87100000004,50.23
88,2025-04-20,BTCUSDT,85077.0,85320.76,83949.52,85179.24,8091.67725,85046.9,85283.6,83900.0,85138.8,90651.81800000001,40.44
89,2025-04-19,BTCUSDT,84474.7,85677.99,84364.45,85077.01,9666.58153,84421.0,85600.0,84317.2,85046.9,73380.56599999999,30.11
